,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2],Downward SWR,Downward LWR
2020-01-01 00:00:00,-0.8868774414062273,3.924699306488037,1.0497562885284424,92003.6484375,0.0,0.0,0.0032952954061329365,0.0,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,-2.1231750488281023,2.5180513858795166,1.2692641019821167,91956.5859375,0.0,0.0,0.00310061639174819,0.0,0.0,1009717.3125,0.0,859705.875
2020-01-01 02:00:00,-3.3517517089843523,2.0830061435699463,1.3804365396499634,92100.6796875,0.0,0.0,0.002916109748184681,0.0,0.0,1999387.25,0.0,1703827.125
2020-01-01 03:00:00,-4.881140136718727,1.2544740438461304,1.2626873254776,91852.9921875,0.0,0.0,0.0028107163961976767,0.0,0.0,2990952.5,0.0,2593001.0
2020-01-01 04:00:00,-4.895178222656227,1.2710598707199097,1.6113193035125732,91808.6953125,0.0,0.0,0.002731514163315296,0.0,0.0,3991227.5,0.0,3528911.0
2020-01-01 05:00:00,-5.463781738281227,1.3793952465057373,1.8348480463027954,91698.1875,0.0,0.0,0.002627304522320628,0.0,0.0,5004365.0,0.0,4474475.0
2020-01-01 06:00:00,-6.118505859374977,1.4868624210357666,1.167367696762085,91620.3046875,0.0,0.0,0.0026135898660868406,0.0,0.0,5997455.0,0.0,5368640.0
2020-01-01 07:00:00,-6.175390624999977,1.5229408740997314,0.8833925724029541,91577.3125,0.0,0.0,0.0026914351619780064,0.0,0.0,6975485.0,0.0,6233870.0
2020-01-01 08:00:00,-5.842413330078102,1.7733920812606812,0.6597890853881836,91531.6953125,0.0,0.0,0.002663936000317335,0.0,0.0,7954430.0,0.0,7111820.0
2020-01-01 09:00:00,-5.176519775390602,1.9663112163543701,0.016622081398963928,91539.15625,0.0,0.0,0.0027315120678395033,0.0,0.0,8932275.0,0.0,7985390.0
2020-01-01 10:00:00,-4.803533935546852,2.5328142642974854,-0.1778891235589981,91517.1484375,0.0,0.0,0.00266213808208704,0.0,0.0,9912615.0,0.0,8861258.0
2020-01-01 11:00:00,-5.315313720703102,1.968446135520935,-0.13248758018016815,91517.6484375,0.0,0.0,0.0026940135285258293,0.0,0.0,10890375.0,0.0,9719768.0
2020-01-01 12:00:00,-5.724768066406227,1.6851637363433838,0.7684798836708069,91565.1328125,0.0,0.0,0.002670054789632559,0.0,0.0,11849595.0,0.0,10536608.0
2020-01-01 13:00:00,-5.572760009765602,2.12644362449646,0.04501597210764885,91610.6953125,0.0,0.0,0.0026241568848490715,0.0,0.0,12806895.0,0.0,11355728.0
