,Temperature[Degree Celsius],10m_X_Wind_Speed [m/s],10m_Y_Wind_Speed [m/s],Surface Pressure [Pa],Precipitatio(cumulus scheme)[kg/m2s1],Precipitatio(microphysics scheme)[kg/m2s1],Humidity,Sunshine Duration(short wave radiation>120 Wm2)[s],Upwelling Surface Shortwave Radiation[W/m2],Upwelling Surface Longwave Radiation[W/m2],Downward SWR,Downward LWR
2020-01-01 00:00:00,-1.1603149414062273,4.150389194488525,1.3368169069290161,91717.9375,0.0,0.0,0.0032466973643749952,0.0,0.0,0.0,0.0,0.0
2020-01-01 01:00:00,-3.1956848144531023,4.096157550811768,2.3508527278900146,91637.3359375,0.0,0.0,0.0030518355779349804,0.0,0.0,1042435.5,0.0,844825.875
2020-01-01 02:00:00,-3.6009277343749773,4.569234848022461,2.741671323776245,91794.1796875,0.0,0.0,0.002993000904098153,0.0,0.0,2078093.625,0.0,1682002.25
2020-01-01 03:00:00,-4.381567382812477,4.309028148651123,1.9023557901382446,91551.671875,0.0,0.0,0.0029080447275191545,0.0,0.0,3108988.0,0.0,2512031.25
2020-01-01 04:00:00,-4.429907226562477,3.7325515747070312,1.4074136018753052,91497.3359375,0.0,0.0,0.0029082768596708775,0.0,0.0,4143202.5,0.0,3420550.75
2020-01-01 05:00:00,-4.528875732421852,3.653306007385254,1.2910598516464233,91381.3515625,0.0,0.0,0.002899964340031147,0.0,0.0,5175134.0,0.0,4330616.5
2020-01-01 06:00:00,-5.048529052734352,3.492433547973633,0.8585766553878784,91320.1640625,0.0,0.0,0.0028293721843510866,0.0,0.0,6203931.5,0.0,5233540.0
2020-01-01 07:00:00,-5.261267089843727,3.5694334506988525,0.13374075293540955,91283.9609375,0.0,0.0,0.0027954494580626488,0.0,0.0,7227824.5,0.0,6135930.0
2020-01-01 08:00:00,-5.326147460937477,3.5683674812316895,-0.46806710958480835,91256.921875,0.0,0.0,0.002781978575512767,0.0,0.0,8249056.0,0.0,7039332.5
2020-01-01 09:00:00,-4.545172119140602,3.1347570419311523,-1.408583164215088,91257.6328125,0.0,0.0,0.002874562283977866,0.0,0.0,9266795.0,0.0,7924312.0
2020-01-01 10:00:00,-4.532873535156227,3.2004969120025635,-1.181347370147705,91227.296875,0.0,0.0,0.0028735361993312836,0.0,0.0,10277760.0,0.0,8780514.0
2020-01-01 11:00:00,-4.910314941406227,3.489016532897949,-0.9457099437713623,91217.0546875,0.0,0.0,0.0028237472288310528,0.0,0.0,11280888.0,0.0,9608255.0
2020-01-01 12:00:00,-5.877935791015602,3.3875491619110107,-0.012001480907201767,91260.7265625,0.0,0.0,0.0026854504831135273,0.0,0.0,12279388.0,0.0,10430531.0
2020-01-01 13:00:00,-7.077856445312477,2.7817728519439697,0.3588981628417969,91329.765625,0.0,1.4446031855186448e-05,0.0024386714212596416,0.0,0.0,13290289.0,0.0,11379829.0
2020-01-01 14:00:00,-7.128332519531227,3.1888773441314697,0.12229704111814499,91373.78125,0.0,3.068767546210438e-05,0.002427153754979372,0.0,0.0,14302608.0,0.0,12341783.0
2020-01-01 15:00:00,-7.044165039062477,3.7134339809417725,0.2731805443763733,91376.8046875,0.0,3.1651139579480514e-05,0.0024422609712928534,0.0,0.0,15314066.0,0.0,13292177.0
2020-01-01 16:00:00,-7.771826171874977,3.633812427520752,0.17143678665161133,91389.0703125,0.0,3.4608106943778694e-05,0.0023068133741617203,0.0,0.0,16323374.0,0.0,14236835.0
2020-01-01 17:00:00,-7.845129394531227,3.65812611579895,0.045313287526369095,91395.015625,0.0,3.880870281136595e-05,0.0022928761318325996,51.42971420288086,54748.84375,17328566.0,91248.0625,15172900.0
2020-01-01 18:00:00,-7.623815917968727,3.3035800457000732,0.0110086090862751,91374.453125,0.0,4.121821984881535e-05,0.0023330452386289835,108.55997467041016,234594.703125,18337298.0,390990.875,16102897.0
2020-01-01 19:00:00,-7.174108886718727,2.545347213745117,-0.6529892683029175,91409.65625,0.0,4.34385692642536e-05,0.0024147159419953823,146.46107482910156,518745.59375,19354402.0,864575.375,17037328.0
2020-01-01 20:00:00,-6.810186767578102,2.417334794998169,-0.46842652559280396,91403.2421875,0.0,4.625240035238676e-05,0.0024849793408066034,139.9384765625,840460.4375,20381158.0,1400766.25,17990272.0
2020-01-01 21:00:00,-6.363195800781227,2.6968555450439453,0.9199129343032837,91433.6953125,0.0,5.15258070663549e-05,0.0025712300557643175,112.65507507324219,1120961.0,21416004.0,1868268.0,18972328.0
2020-01-01 22:00:00,-6.285864257812477,2.8934030532836914,0.716039776802063,91453.3359375,0.0,5.647916259476915e-05,0.0025852203834801912,69.87191772460938,1323860.25,22450612.0,2206433.75,19939574.0
2020-01-01 23:00:00,-6.489660644531227,2.062077283859253,1.172558069229126,91519.09375,0.0,0.00010386792564531788,0.00254613533616066,12.286654472351074,1405974.0,23481448.0,2343288.5,20916318.0
2020-01-02 00:00:00,-6.573645019531227,2.0889387130737305,1.7209458351135254,91603.0078125,0.0,0.00022153132886160165,0.0025279032997787,0.0,1408513.25,24507082.0,2347520.0,21903126.0
2020-01-02 01:00:00,-6.090246582031227,2.0073070526123047,2.2854599952697754,91616.03125,0.0,0.0002830931916832924,0.002622848143801093,0.0,1408513.25,25535676.0,2347520.0,22921350.0
2020-01-02 02:00:00,-6.078375244140602,0.46655726432800293,3.0535671710968018,91624.5703125,0.0,0.0003190537681803107,0.002624131739139557,0.0,1408513.25,26568882.0,2347520.0,23953262.0
2020-01-02 03:00:00,-5.924230957031227,1.2781338691711426,2.9231016635894775,91559.3046875,0.0,0.00033214467111974955,0.002657426055520773,0.0,1408513.25,27602842.0,2347520.0,24980348.0
2020-01-02 04:00:00,-5.808935546874977,2.41762113571167,2.6308863162994385,91587.9921875,0.0,0.00033802850521169603,0.0026796432211995125,0.0,1408513.25,28636928.0,2347520.0,25998322.0
2020-01-02 05:00:00,-5.559973144531227,3.153273582458496,2.455508232116699,91582.7578125,0.0,0.0003477559075690806,0.0027304471004754305,0.0,1408513.25,29674224.0,2347520.0,27029752.0
2020-01-02 06:00:00,-5.710882568359352,2.0139286518096924,2.534729242324829,91631.671875,0.0,0.00035215570824220777,0.002700130920857191,0.0,1408513.25,30711848.0,2347520.0,28042834.0
2020-01-02 07:00:00,-6.243933105468727,2.2162017822265625,2.5204432010650635,91590.265625,0.0,0.00035318461596034467,0.0025917678140103817,0.0,1408513.25,31741700.0,2347520.0,29020468.0
2020-01-02 08:00:00,-6.104833984374977,2.829827070236206,2.058481454849243,91607.1796875,0.0,0.0003541680343914777,0.0026196849066764116,0.0,1408513.25,32767828.0,2347520.0,29996220.0
2020-01-02 09:00:00,-6.015539550781227,3.3063302040100098,2.638457775115967,91605.0078125,0.0,0.015525806695222855,0.0026353811845183372,0.0,1408513.25,33794920.0,2347520.0,30980510.0
