"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 00:00","2021","01","01","00:00","-4.0","","-6.7","","81","","0.0","","22","","9","","","","93.00","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 01:00","2021","01","01","01:00","-4.7","","-7.2","","83","","0.0","","22","","8","","","","92.99","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 02:00","2021","01","01","02:00","-5.9","","-7.5","","88","","0.0","","22","","4","","","","93.04","","","","-8","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 03:00","2021","01","01","03:00","-7.2","","-8.4","","91","","0.0","","","","0","","","","93.09","","","","","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 04:00","2021","01","01","04:00","-6.7","","-7.8","","92","","0.0","","22","","7","","","","93.12","","","","-10","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 05:00","2021","01","01","05:00","-7.2","","-8.5","","91","","0.0","","22","","9","","","","93.12","","","","-12","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 06:00","2021","01","01","06:00","-7.6","","-8.7","","92","","0.0","","23","","8","","","","93.07","","","","-12","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 07:00","2021","01","01","07:00","-8.2","","-9.3","","92","","0.0","","22","","6","","","","93.07","","","","-11","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 08:00","2021","01","01","08:00","-9.2","","-10.4","","91","","0.0","","22","","5","","","","93.07","","","","-12","","NA"
"-113.52","53.57","EDMONTON BLATCHFORD","3012209","2021-01-01 09:00","2021","01","01","09:00","-8.8","","-9.8","","92","","0.0","","23","","5","","","","93.02","","","","-12","","NA"
